Customer ID;AVERAGE_QT_AMT;total_spends
12759;11;562.11
17916;4;22.32
16917;13;241.03
14070;2;200.25
12530;19;292.35
13300;6;175.6
14840;7;58.43
17375;6;62.19
17043;6;378.79
16585;8;55.48
17584;22;373.18
14674;7;37.52
16214;16;181.18
13134;13;96.25
16711;27;58.93
18251;345;97.45
15278;15;36.62
16048;11;85.97
14508;1;455.38
13738;2;240.6
12427;7;49.25
15882;9;106.72
15112;10;30.5
13031;5;1069.05
12802;14;307.42
14342;13;47
17919;40;18.13
16920;3;124.65
12636;1;141
15716;5;605.19
13406;28;24.14
17587;1;146.13
16588;12;218.27
17129;2;13.45
18128;4;118.27
12865;10;300.66
14176;7;56.09
16797;2;1166.52
15550;4;530.83
12470;4;90.35
16320;13;1757.95
13240;3;379.72
13469;8;16.2
14010;4;86.9
17255;3;241.62
17796;1;521.54
12699;9;127.56
12533;6;298.62
13074;27;122.67
16923;6;1315.32
16154;-1;10.5
17464;10;86.52
15384;14;164.26
16465;10;125.4
13303;6;17.54
14614;9;52.56
15218;13;703.4
18131;138;4.03
15988;2;295.38
17673;6;503.4
12908;600;1.71
13137;2;1859.5
17132;12;255.46
12971;31;341.68
15822;14;112.21
17799;3;1364.58
14282;28;160
12742;19;116.13
13512;11;59.66
17341;3;511.69
18008;86;321.69
12805;10;211.75
13346;30;11.35
17009;30;19
12576;8;176.38
16468;7;101.07
17467;5;26.5
16677;9;184.52
13409;-1;525.65
12639;10;177.99
17676;10;173.59
13180;10;15.05
17135;6;190.65
18217;16;30.25
12410;9;75.87
15490;2;91.1
14013;8;191.35
17344;3;103.02
16094;9;669.79
15324;9;18.47
13243;2;427.34
13784;23;57.98
13014;9;380.76
17012;6;89.04
13077;7;511.62
13847;5;112.69
14388;10;681
12848;3;63.55
16471;10;137.69
15928;14;24.6
17553;310;11
18011;1;277.81
15158;2;347.29
12682;10;1793.3
18220;34;91.79
17679;9;132.14
14451;3;938.06
17221;6;164.15
12911;3;775.7
16680;14;56.9
14992;5;50.84
13452;4;34.95
14285;11;274.31
16366;10;195.75
17888;3;352.9
14826;15;30.45
12745;20;269.54
13515;8;70.26
13286;5;202.81
16889;8;200.86
12516;22;94.33
15596;7;409.84
16200;5;1319.03
13890;7;205.31
18097;20;142.77
14119;16;36.25
15430;7;163.55
